Torque Temp (ºC)
14,22966068
14,27515658
14,84322135
14,88861586
15,07011892
15,11547594
15,20616752
15,18349743
15,34214872
15,43276542
15,52335219
15,59127264
15,704436
15,84017037
15,953231
16,02104498
16,29213303
16,45014377
16,51783472
16,60806325
16,69826201
16,76589154
16,9236287
17,0587595
17,12629982
17,21632758
17,28382892
17,39629403
17,46375084
17,55366729
17,71094974
17,77832872
17,84569103
17,93548153
18,00280498
18,07011178
18,15982829
18,22709626
18,31676102
18,42880041
18,51839869
18,58557802
18,67512463
18,78701639
18,94358745
18,94358745
18,96594737
19,03301609
19,10006824
19,12241527
19,27879298
19,3457844
19,43508055
19,56896965
19,88112041
19,92568402
20,10386508
20,3931592
20,57103258
20,83762323
21,12613294
21,41433436
21,72436079
21,9898139
22,27709282
22,54200114
22,78460447
23,02698872
23,11507417
23,15910605
22,96090564
23,11507417
23,11507417
23,46712686
23,44513712
23,46712686
23,64297989
23,6649534
23,68692511
23,73086311
23,86263387
23,99433977
24,08210769
24,16984681
24,27948023
24,43289151
24,54241708
24,5643168
24,63000521
24,65189775
24,82697349
24,76133355
24,76133355









